"state","male","female","under_5_years","x5_to_9_years","x10_to_14_years","x15_to_19_years","x20_to_24_years","x25_to_34_years","x35_to_44_years","x45_to_54_years","x55_to_59_years","x60_to_64_years","x65_to_74_years","x75_to_84_years","x85_years_and_over","hispanic_or_latino_of_any_race","white_alone","black_or_african_american_alone","american_indian_and_alaska_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","high_school_graduate_or_higher","civilian_labor_force","unemployed","unemployment_rate","agriculture_forestry_fishing_and_hunting_and_mining","construction","manufacturing","wholesale_trade","retail_trade","transportation_and_warehousing_and_utilities","information","finance_and_insurance_and_real_estate_and_rental_and_leasing","professional_scientific_and_management_and_administrative_and_waste_management_services","educational_services_and_health_care_and_social_assistance","arts_entertainment_and_recreation_and_accommodation_and_food_services","other_services_except_public_administration","public_administration","per_capita_income_dollars","with_health_insurance_coverage","no_health_insurance_coverage"
"Georgia",0.486947350595338,0.513052649404663,0.0602512492909061,0.0638585276295387,0.0714792092205425,0.0702759982342231,0.0672856304208658,0.13737759153045,0.13204089165516,0.131577502375106,0.0645501267115382,0.0578417192194377,0.0879424319818472,0.0419018814640803,0.0136172402663057,0.0982010418158907,0.518219534062079,0.31540176933706,1.79414071001196e-10,0.0410528053747129,0.000547307948454159,0.586224830639224,5254134,251981,0.0479586169671348,0.00470173348232296,0.0321604366506814,0.0506761153013912,0.0136977309534402,0.0515431635524584,0.0343925940740155,0.0108840226278961,0.0304026366711796,0.0630617100360331,0.0999008484501381,0.0448890120659337,0.0224902815742794,0.0212338053428214,32657,0.865857223303647,0.134142776696353
"Hawaii",0.499942791438774,0.500057208561226,0.0602702786692582,0.059656522623514,0.0583428445509199,0.0548757232292185,0.0629294173484609,0.138275917597071,0.130755463770736,0.118781217511187,0.0617351003480541,0.0640566378881707,0.108228709939882,0.0554880667178954,0.0266040998056321,0.10655200470099,0.215429078334765,0.0177946876553813,1.62857600448519e-09,0.380972997559101,0.0993423134294626,0.650263583148759,698880,27112,0.0387934981684982,0.00755493241776237,0.0356277806604034,0.0141236388793824,0.011463772755876,0.0571120507243977,0.030860776542542,0.00644800418042047,0.0299731731820139,0.0541033255686439,0.106683888821423,0.07994906952525,0.0210544521846009,0.0394593420989685,36989,0.958432047927637,0.0415679520723625
"Idaho",0.502524530445171,0.497475469554829,0.0648196903861919,0.0700220753022414,0.0724607107184126,0.0702509421873295,0.0671839020964542,0.13138861764961,0.126354665331144,0.113228673831114,0.0585552288249168,0.0642321348132273,0.097433501299617,0.0483177724369287,0.0157520851228131,0.128419503487562,0.815877989888448,0.00691021311479997,5.81925741038578e-09,0.0135339229406877,0.00128087114906285,0.599357605906892,877350,29127,0.0331988374081039,0.022203385893113,0.0427234007833823,0.0460839101801734,0.0123603966432302,0.0586533825218382,0.0231139133928,0.00756525399864356,0.0261083986671283,0.0440441472686158,0.105094817812343,0.0492574413100717,0.0210327886222025,0.0223626007203763,29606,0.891668758367986,0.108331241632014
"Illinois",0.490640216587655,0.509359783412345,0.0585870018208117,0.0594118240780074,0.064966905703608,0.0654621778511549,0.0654280864605016,0.137969357363871,0.129514061159797,0.126451360068928,0.0663483172623729,0.0644507210131835,0.0932790164886325,0.0480851173639527,0.0200460533651793,0.174899882187414,0.60693565668265,0.138835057723748,8.1756467150584e-11,0.0560392227762687,0.000228617497043243,0.61649047915055,6606716,320069,0.0484460055495045,0.00492674108092669,0.027838125002152,0.0595357587298974,0.0145481674680385,0.0511960040924453,0.0349637907311735,0.00802826500192939,0.0359990733783902,0.0617344431546229,0.118006527189242,0.0451238779867072,0.0232295998110883,0.0182694676818293,37728,0.926067975045917,0.0739320249540833
"Indiana",0.493137106799407,0.506862893200593,0.0615774679938368,0.0613653536820475,0.069774022502833,0.0690638554687541,0.0694925402753535,0.131653322626611,0.122659111356894,0.122904498501906,0.0662656696105697,0.0641573008840027,0.0946753217624085,0.0474131931834065,0.0189983421513768,0.0721239163491265,0.783139704754109,0.0939516376398332,2.65472619071373e-10,0.0252255608440545,0.000404918497155247,0.599197976179919,3414811,142084,0.0416081592802647,0.00619449903634592,0.0304257132857294,0.0912248140662583,0.0124227761048772,0.053519482460229,0.0287499308228917,0.00656681136431734,0.0260719662086979,0.040827839250948,0.114091787881799,0.0435953759683476,0.0223348190138353,0.0174843539099354,30988,0.912774866851973,0.0872251331480266
"Iowa",0.497733489272821,0.502266510727179,0.0604126057425033,0.0651113921402695,0.0647012586091592,0.0680447660432257,0.0688434804933013,0.126874839543972,0.124275214179083,0.113609840669145,0.0666812463748823,0.065989661085174,0.0987753045098841,0.0523570000031695,0.0243233906062306,0.0625919551705667,0.850916461441426,0.039891666428954,9.95181806153554e-10,0.0239842539151271,0.000445631951113604,0.623289816073811,1680913,62357,0.0370971013966814,0.0194880064166298,0.0349559788605983,0.0787116867625519,0.013678719913211,0.0578084741416376,0.0264502810810324,0.00769590676349025,0.0387497855017844,0.0399358722638222,0.127890102361441,0.037614471351072,0.0210687056261838,0.0160679247562754,33107,0.949850156527462,0.0501498434725381
"Kansas",0.496440479810964,0.503559520189036,0.0628960695620177,0.0676075424756823,0.0697858178006216,0.0682590342132705,0.073066960856262,0.129533925968845,0.124567760289485,0.112343194039503,0.0623739837175121,0.0654927687163141,0.0942795730223381,0.0480995182805561,0.0216938510575928,0.121787078220885,0.753947222990725,0.0554289719542761,2.3155216125975e-09,0.0293971058389175,0.000718082568511324,0.604234215741935,1512483,56737,0.0375124877436639,0.0156969329528994,0.0336660903118032,0.0642373268261689,0.0129621986716604,0.0530511801014857,0.0256999801180364,0.0090022866011345,0.0309404729803414,0.0510324770296697,0.125818816051863,0.0435190584575313,0.022021290882945,0.022812010950158,32885,0.907991742848717,0.0920082571512828
"Kentucky",0.492024595354226,0.507975404645774,0.0611347338983851,0.0593011171587536,0.0653751964389516,0.0660307950022305,0.0658248712472914,0.129081067481886,0.124650125468001,0.125882086714941,0.0661570352172149,0.067669903325512,0.101827506176034,0.0499114415938678,0.0171541202769316,0.0376072734060886,0.842205550853878,0.0800839721259815,3.51909185766942e-10,0.0161775492521498,0.000873609147312259,0.594893359473713,2098310,100537,0.047913320720008,0.00888504539218262,0.0282585949586946,0.065053538327933,0.0118981157135768,0.0549075736345856,0.0288763975245935,0.00545851030446332,0.0239873420030943,0.0390059422161894,0.112411331990542,0.0393103964153312,0.0190941814811571,0.0184563100242286,29029,0.935559931181948,0.0644400688180518
"Louisiana",0.487911918661055,0.512088081338945,0.0630221515515637,0.0641217915872375,0.0682230703274871,0.0649011334982793,0.0642446191420829,0.138406218903225,0.130525250204677,0.117175336226987,0.0636203712188581,0.0661070376532064,0.0960939546901842,0.0473484090712559,0.016210655924956,0.0538210555253685,0.582454718363515,0.321450681617641,1.15010916470485e-09,0.0174273155575403,0.000201772760849373,0.580657478046995,2158336,118011,0.0546768436425098,0.0170449964645163,0.0370346873905487,0.0327407818595543,0.0113404219230829,0.0515883243128936,0.0255596747795554,0.00645462575638425,0.0228804169447694,0.0419548471371393,0.110570765845245,0.0476362923459531,0.0215274611262002,0.0231081858012331,28662,0.910951408576356,0.0890485914236435
"Maine",0.488263756014676,0.511736243985324,0.0467284922318801,0.048261732524334,0.0542101989864694,0.0581820427135005,0.0552695556950838,0.122176412649195,0.114278848872053,0.131250874118071,0.0761055547785617,0.0807885958464885,0.126137841352406,0.0608304344850366,0.0257794157469209,0.0171602396050623,0.928215936176734,0.0152818156659813,5.01455007348649e-09,0.0112288835392036,0.000165152520584551,0.687271055458514,708884,24471,0.0345204575078574,0.0143738094323464,0.0391895892132028,0.0450993994530074,0.0103259735632781,0.0644196432270306,0.0204086551679204,0.00806177657362067,0.0303504835333525,0.0473974916071807,0.144318078249624,0.0462149269785172,0.0218405375622447,0.0235172183669611,34078,0.919753574621711,0.0802464253782889
"Maryland",0.48431491577457,0.51568508422543,0.059273067711159,0.0594647748474944,0.0646142369427426,0.0630728057058925,0.0615341863942518,0.135729148747535,0.130163025499199,0.13165665400749,0.0683512855460428,0.0673684349816729,0.0933779161318495,0.0466129533815882,0.0187815101030819,0.106385220521099,0.498203676013286,0.297471252199918,4.14057684056624e-10,0.0634944290799381,0.000379940718000291,0.625522025644758,3246226,147356,0.0453930194632167,0.00298662292968906,0.0385216838781226,0.0224321316091941,0.00875216075222937,0.0469151067821131,0.0252456925389591,0.00801349379045471,0.030007168029579,0.0834007473452895,0.124285930042588,0.0447953075138508,0.0297885279908023,0.0560377783077463,43325,0.939986504864068,0.0600134951359319
